Chromosome,Start,End,arm
chr1,15400001,15500000,1p
chr1,15500001,15600000,1p
chr1,15600001,15700000,1p
chr1,15900001,16000000,1p
chr1,16000001,16100000,1p
chr1,16100001,16200000,1p
chr1,16200001,16300000,1p
chr1,17000001,17100000,1p
chr1,17100001,17200000,1p
chr1,17200001,17300000,1p
chr1,17300001,17400000,1p
chr1,17500001,17600000,1p
chr1,17600001,17700000,1p
chr1,17700001,17800000,1p
chr1,17800001,17900000,1p
chr1,17900001,18000000,1p
chr1,18000001,18100000,1p
chr1,18100001,18200000,1p
chr1,18200001,18300000,1p
chr1,18300001,18400000,1p
chr1,18400001,18500000,1p
chr1,18500001,18600000,1p
chr1,18600001,18700000,1p
chr1,18700001,18800000,1p
chr1,18800001,18900000,1p
chr1,18900001,19000000,1p
chr1,19000001,19100000,1p
chr1,19100001,19200000,1p
chr1,19200001,19300000,1p
chr1,19300001,19400000,1p
chr1,19400001,19500000,1p
chr1,19600001,19700000,1p
chr1,19700001,19800000,1p
chr1,19800001,19900000,1p
chr1,19900001,20000000,1p
chr1,20000001,20100000,1p
chr1,20100001,20200000,1p
chr1,20200001,20300000,1p
chr1,20300001,20400000,1p
chr1,20400001,20500000,1p
chr1,20500001,20600000,1p
chr1,20600001,20700000,1p
chr1,20700001,20800000,1p
chr1,20800001,20900000,1p
chr1,20900001,21000000,1p
chr1,21000001,21100000,1p
chr1,21100001,21200000,1p
chr1,21200001,21300000,1p
chr1,21300001,21400000,1p
chr1,21500001,21600000,1p
chr1,21600001,21700000,1p
chr1,21700001,21800000,1p
chr1,21800001,21900000,1p
chr1,22100001,22200000,1p
chr1,22200001,22300000,1p
chr1,22300001,22400000,1p
chr1,22400001,22500000,1p
chr1,22500001,22600000,1p
chr1,22600001,22700000,1p
chr1,22700001,22800000,1p
chr1,22800001,22900000,1p
chr1,22900001,23000000,1p
chr1,23000001,23100000,1p
chr1,23100001,23200000,1p
chr1,23200001,23300000,1p
chr1,23300001,23400000,1p
chr1,23400001,23500000,1p
chr1,23500001,23600000,1p
chr1,24000001,24100000,1p
chr1,24100001,24200000,1p
chr1,24200001,24300000,1p
chr1,24300001,24400000,1p
chr1,24400001,24500000,1p
chr1,24500001,24600000,1p
chr1,24600001,24700000,1p
chr1,24800001,24900000,1p
chr1,24900001,25000000,1p
chr1,25000001,25100000,1p
chr1,25100001,25200000,1p
chr1,25500001,25600000,1p
chr1,25600001,25700000,1p
chr1,25700001,25800000,1p
chr1,25800001,25900000,1p
chr1,25900001,26000000,1p
chr1,26000001,26100000,1p
chr1,26100001,26200000,1p
chr1,26200001,26300000,1p
chr1,26300001,26400000,1p
chr1,26700001,26800000,1p
chr1,27300001,27400000,1p
chr1,27500001,27600000,1p
chr1,27600001,27700000,1p
chr1,27900001,28000000,1p
chr1,28000001,28100000,1p
chr1,28800001,28900000,1p
chr1,28900001,29000000,1p
chr1,29000001,29100000,1p
chr1,29200001,29300000,1p
chr1,29300001,29400000,1p
chr1,29400001,29500000,1p
chr1,29500001,29600000,1p
chr1,29600001,29700000,1p
chr1,29700001,29800000,1p
chr1,29800001,29900000,1p
chr1,29900001,30000000,1p
chr1,30000001,30100000,1p
chr1,30100001,30200000,1p
chr1,30200001,30300000,1p
chr1,30300001,30400000,1p
chr1,30500001,30600000,1p
chr1,30600001,30700000,1p
chr1,30700001,30800000,1p
chr1,30800001,30900000,1p
chr1,30900001,31000000,1p
chr1,31200001,31300000,1p
chr1,31300001,31400000,1p
chr1,31500001,31600000,1p
chr1,31600001,31700000,1p
chr1,31700001,31800000,1p
chr1,31800001,31900000,1p
chr1,32100001,32200000,1p
chr1,32300001,32400000,1p
chr1,32800001,32900000,1p
chr1,32900001,33000000,1p
chr1,33000001,33100000,1p
chr1,33100001,33200000,1p
chr1,33200001,33300000,1p
chr1,33300001,33400000,1p
chr1,33400001,33500000,1p
chr1,33500001,33600000,1p
chr1,33600001,33700000,1p
chr1,33700001,33800000,1p
chr1,33900001,34000000,1p
chr1,34000001,34100000,1p
chr1,34100001,34200000,1p
chr1,34200001,34300000,1p
chr1,34300001,34400000,1p
chr1,34400001,34500000,1p
chr1,34500001,34600000,1p
chr1,34600001,34700000,1p
chr1,34700001,34800000,1p
chr1,34800001,34900000,1p
chr1,34900001,35000000,1p
chr1,35300001,35400000,1p
chr1,35400001,35500000,1p
chr1,35500001,35600000,1p
chr1,35600001,35700000,1p
chr1,35700001,35800000,1p
chr1,35800001,35900000,1p
chr1,35900001,36000000,1p
chr1,36000001,36100000,1p
chr1,36100001,36200000,1p
chr1,36300001,36400000,1p
chr1,36400001,36500000,1p
chr1,36500001,36600000,1p
chr1,36600001,36700000,1p
chr1,36700001,36800000,1p
chr1,36800001,36900000,1p
chr1,36900001,37000000,1p
chr1,37000001,37100000,1p
chr1,37100001,37200000,1p
chr1,37200001,37300000,1p
chr1,37300001,37400000,1p
chr1,37400001,37500000,1p
chr1,37500001,37600000,1p
chr1,37600001,37700000,1p
chr1,37700001,37800000,1p
chr1,37800001,37900000,1p
chr1,38000001,38100000,1p
chr1,38100001,38200000,1p
chr1,38200001,38300000,1p
chr1,38300001,38400000,1p
chr1,38400001,38500000,1p
chr1,38500001,38600000,1p
chr1,38700001,38800000,1p
chr1,38800001,38900000,1p
chr1,39100001,39200000,1p
chr1,39200001,39300000,1p
chr1,39300001,39400000,1p
chr1,39400001,39500000,1p
chr1,39600001,39700000,1p
chr1,39700001,39800000,1p
chr1,39800001,39900000,1p
chr1,40000001,40100000,1p
chr1,40100001,40200000,1p
chr1,40200001,40300000,1p
chr1,40400001,40500000,1p
chr1,40600001,40700000,1p
chr1,40700001,40800000,1p
chr1,40800001,40900000,1p
chr1,40900001,41000000,1p
chr1,41000001,41100000,1p
chr1,41100001,41200000,1p
chr1,41200001,41300000,1p
chr1,41300001,41400000,1p
chr1,41400001,41500000,1p
chr1,41500001,41600000,1p
chr1,41600001,41700000,1p
chr1,41700001,41800000,1p
chr1,41800001,41900000,1p
chr1,41900001,42000000,1p
chr1,42000001,42100000,1p
chr1,42100001,42200000,1p
chr1,42200001,42300000,1p
chr1,42300001,42400000,1p
chr1,42400001,42500000,1p
chr1,42500001,42600000,1p
chr1,42600001,42700000,1p
chr1,42700001,42800000,1p
chr1,42800001,42900000,1p
chr1,42900001,43000000,1p
chr1,43000001,43100000,1p
chr1,43100001,43200000,1p
chr1,43200001,43300000,1p
chr1,43300001,43400000,1p
chr1,43400001,43500000,1p
chr1,43500001,43600000,1p
chr1,43600001,43700000,1p
chr1,43700001,43800000,1p
chr1,43800001,43900000,1p
chr1,43900001,44000000,1p
chr1,44000001,44100000,1p
chr1,44100001,44200000,1p
chr1,44200001,44300000,1p
chr1,44300001,44400000,1p
chr1,44400001,44500000,1p
chr1,44500001,44600000,1p
chr1,44600001,44700000,1p
chr1,44800001,44900000,1p
chr1,45000001,45100000,1p
chr1,45600001,45700000,1p
chr1,45800001,45900000,1p
chr1,45900001,46000000,1p
chr1,46000001,46100000,1p
chr1,46100001,46200000,1p
chr1,46400001,46500000,1p
chr1,46500001,46600000,1p
chr1,46600001,46700000,1p
chr1,47200001,47300000,1p
chr1,47400001,47500000,1p
chr1,47500001,47600000,1p
chr1,47600001,47700000,1p
chr1,47700001,47800000,1p
chr1,47800001,47900000,1p
chr1,47900001,48000000,1p
chr1,48000001,48100000,1p
chr1,48200001,48300000,1p
chr1,48300001,48400000,1p
chr1,48400001,48500000,1p
chr1,48500001,48600000,1p
chr1,48600001,48700000,1p
chr1,48700001,48800000,1p
chr1,48800001,48900000,1p
chr1,48900001,49000000,1p
chr1,49000001,49100000,1p
chr1,49100001,49200000,1p
chr1,49200001,49300000,1p
chr1,49300001,49400000,1p
chr1,49400001,49500000,1p
chr1,49600001,49700000,1p
chr1,49700001,49800000,1p
chr1,50100001,50200000,1p
chr1,50200001,50300000,1p
chr1,50300001,50400000,1p
chr1,50400001,50500000,1p
chr1,50500001,50600000,1p
chr1,50600001,50700000,1p
chr1,50700001,50800000,1p
chr1,50800001,50900000,1p
chr1,50900001,51000000,1p
chr1,51000001,51100000,1p
chr1,51100001,51200000,1p
chr1,51200001,51300000,1p
chr1,51300001,51400000,1p
chr1,51400001,51500000,1p
chr1,51500001,51600000,1p
chr1,51600001,51700000,1p
chr1,51700001,51800000,1p
chr1,51800001,51900000,1p
chr1,51900001,52000000,1p
chr1,52200001,52300000,1p
chr1,52300001,52400000,1p
chr1,52400001,52500000,1p
chr1,52500001,52600000,1p
chr1,52600001,52700000,1p
chr1,53000001,53100000,1p
chr1,53100001,53200000,1p
chr1,53200001,53300000,1p
chr1,53300001,53400000,1p
chr1,53400001,53500000,1p
chr1,53500001,53600000,1p
chr1,53600001,53700000,1p
chr1,53700001,53800000,1p
chr1,53800001,53900000,1p
chr1,53900001,54000000,1p
chr1,54000001,54100000,1p
chr1,54100001,54200000,1p
chr1,54200001,54300000,1p
chr1,54300001,54400000,1p
chr1,54500001,54600000,1p
chr1,54600001,54700000,1p
chr1,54700001,54800000,1p
chr1,54800001,54900000,1p
chr1,55000001,55100000,1p
chr1,55100001,55200000,1p
chr1,55200001,55300000,1p
chr1,55400001,55500000,1p
chr1,55500001,55600000,1p
chr1,55600001,55700000,1p
chr1,55700001,55800000,1p
chr1,55800001,55900000,1p
chr1,55900001,56000000,1p
chr1,56000001,56100000,1p
chr1,56100001,56200000,1p
chr1,56200001,56300000,1p
chr1,56300001,56400000,1p
chr1,56400001,56500000,1p
chr1,56500001,56600000,1p
chr1,56600001,56700000,1p
chr1,56700001,56800000,1p
chr1,56800001,56900000,1p
chr1,56900001,57000000,1p
chr1,57000001,57100000,1p
chr1,57100001,57200000,1p
chr1,57200001,57300000,1p
chr1,57300001,57400000,1p
chr1,57400001,57500000,1p
chr1,57500001,57600000,1p
chr1,57600001,57700000,1p
chr1,57700001,57800000,1p
chr1,57800001,57900000,1p
chr1,57900001,58000000,1p
chr1,58000001,58100000,1p
chr1,58100001,58200000,1p
chr1,58200001,58300000,1p
chr1,58300001,58400000,1p
chr1,58400001,58500000,1p
chr1,58500001,58600000,1p
chr1,58600001,58700000,1p
chr1,58700001,58800000,1p
chr1,58800001,58900000,1p
chr1,58900001,59000000,1p
chr1,59000001,59100000,1p
chr1,59100001,59200000,1p
chr1,59200001,59300000,1p
chr1,59300001,59400000,1p
chr1,59400001,59500000,1p
chr1,59500001,59600000,1p
chr1,59600001,59700000,1p
chr1,59700001,59800000,1p
chr1,59800001,59900000,1p
chr1,59900001,60000000,1p
chr1,60000001,60100000,1p
chr1,60100001,60200000,1p
chr1,60200001,60300000,1p
chr1,60300001,60400000,1p
chr1,60400001,60500000,1p
chr1,60500001,60600000,1p
chr1,60600001,60700000,1p
chr1,60700001,60800000,1p
chr1,60800001,60900000,1p
chr1,60900001,61000000,1p
chr1,61000001,61100000,1p
chr1,61100001,61200000,1p
chr1,61200001,61300000,1p
chr1,61300001,61400000,1p
chr1,61400001,61500000,1p
chr1,61500001,61600000,1p
chr1,61600001,61700000,1p
chr1,61700001,61800000,1p
chr1,61800001,61900000,1p
chr1,61900001,62000000,1p
chr1,62000001,62100000,1p
chr1,62200001,62300000,1p
chr1,62300001,62400000,1p
chr1,62400001,62500000,1p
chr1,62500001,62600000,1p
chr1,62600001,62700000,1p
chr1,62800001,62900000,1p
chr1,62900001,63000000,1p
chr1,63000001,63100000,1p
chr1,63100001,63200000,1p
chr1,63200001,63300000,1p
chr1,63300001,63400000,1p
chr1,63400001,63500000,1p
chr1,63500001,63600000,1p
chr1,63600001,63700000,1p
chr1,63700001,63800000,1p
chr1,63800001,63900000,1p
chr1,63900001,64000000,1p
chr1,64000001,64100000,1p
chr1,64100001,64200000,1p
chr1,64200001,64300000,1p
chr1,64300001,64400000,1p
chr1,64400001,64500000,1p
chr1,64500001,64600000,1p
chr1,64600001,64700000,1p
chr1,64700001,64800000,1p
chr1,64800001,64900000,1p
chr1,64900001,65000000,1p
chr1,65000001,65100000,1p
chr1,65100001,65200000,1p
chr1,65200001,65300000,1p
chr1,65300001,65400000,1p
chr1,65400001,65500000,1p
chr1,65600001,65700000,1p
chr1,65700001,65800000,1p
chr1,65800001,65900000,1p
chr1,65900001,66000000,1p
chr1,66000001,66100000,1p
chr1,66100001,66200000,1p
chr1,66200001,66300000,1p
chr1,66300001,66400000,1p
chr1,66400001,66500000,1p
chr1,66500001,66600000,1p
chr1,66600001,66700000,1p
chr1,66700001,66800000,1p
chr1,66800001,66900000,1p
chr1,66900001,67000000,1p
chr1,67000001,67100000,1p
chr1,67100001,67200000,1p
chr1,67300001,67400000,1p
chr1,67400001,67500000,1p
chr1,67500001,67600000,1p
chr1,67600001,67700000,1p
chr1,67700001,67800000,1p
chr1,67800001,67900000,1p
chr1,68000001,68100000,1p
chr1,68100001,68200000,1p
chr1,68200001,68300000,1p
chr1,68300001,68400000,1p
chr1,68400001,68500000,1p
chr1,68500001,68600000,1p
chr1,68600001,68700000,1p
chr1,68700001,68800000,1p
chr1,68800001,68900000,1p
chr1,68900001,69000000,1p
chr1,69000001,69100000,1p
chr1,69100001,69200000,1p
chr1,69200001,69300000,1p
chr1,69300001,69400000,1p
chr1,69400001,69500000,1p
chr1,69500001,69600000,1p
chr1,69600001,69700000,1p
chr1,69700001,69800000,1p
chr1,69800001,69900000,1p
chr1,70000001,70100000,1p
chr1,70100001,70200000,1p
chr1,70200001,70300000,1p
chr1,70300001,70400000,1p
chr1,70400001,70500000,1p
chr1,70500001,70600000,1p
chr1,70600001,70700000,1p
chr1,70700001,70800000,1p
chr1,70800001,70900000,1p
chr1,70900001,71000000,1p
chr1,71000001,71100000,1p
chr1,71100001,71200000,1p
chr1,71200001,71300000,1p
chr1,71300001,71400000,1p
chr1,71400001,71500000,1p
chr1,71500001,71600000,1p
chr1,71600001,71700000,1p
chr1,71700001,71800000,1p
chr1,71800001,71900000,1p
chr1,71900001,72000000,1p
chr1,72000001,72100000,1p
chr1,72100001,72200000,1p
chr1,72200001,72300000,1p
chr1,72300001,72400000,1p
chr1,72400001,72500000,1p
chr1,72500001,72600000,1p
chr1,72600001,72700000,1p
chr1,72700001,72800000,1p
chr1,72800001,72900000,1p
chr1,73000001,73100000,1p
chr1,73100001,73200000,1p
chr1,73300001,73400000,1p
chr1,73400001,73500000,1p
chr1,73500001,73600000,1p
chr1,73600001,73700000,1p
chr1,73700001,73800000,1p
chr1,73800001,73900000,1p
chr1,73900001,74000000,1p
chr1,74000001,74100000,1p
chr1,74100001,74200000,1p
chr1,74200001,74300000,1p
chr1,74300001,74400000,1p
chr1,74400001,74500000,1p
chr1,74500001,74600000,1p
chr1,74600001,74700000,1p
chr1,74700001,74800000,1p
chr1,74800001,74900000,1p
chr1,75000001,75100000,1p
chr1,75100001,75200000,1p
chr1,75200001,75300000,1p
chr1,75300001,75400000,1p
chr1,75400001,75500000,1p
chr1,75500001,75600000,1p
chr1,75900001,76000000,1p
chr1,76000001,76100000,1p
chr1,76100001,76200000,1p
chr1,76200001,76300000,1p
chr1,76300001,76400000,1p
chr1,76400001,76500000,1p
chr1,76500001,76600000,1p
chr1,76600001,76700000,1p
chr1,76700001,76800000,1p
chr1,76800001,76900000,1p
chr1,77000001,77100000,1p
chr1,77100001,77200000,1p
chr1,77200001,77300000,1p
chr1,77300001,77400000,1p
chr1,77400001,77500000,1p
chr1,77500001,77600000,1p
chr1,77600001,77700000,1p
chr1,77700001,77800000,1p
chr1,77900001,78000000,1p
chr1,78000001,78100000,1p
chr1,78100001,78200000,1p
chr1,78300001,78400000,1p
chr1,78400001,78500000,1p
chr1,78500001,78600000,1p
chr1,78600001,78700000,1p
chr1,78700001,78800000,1p
chr1,78800001,78900000,1p
chr1,78900001,79000000,1p
chr1,79000001,79100000,1p
chr1,79100001,79200000,1p
chr1,79200001,79300000,1p
chr1,79300001,79400000,1p
chr1,79400001,79500000,1p
chr1,79500001,79600000,1p
chr1,79600001,79700000,1p
chr1,79700001,79800000,1p
chr1,79800001,79900000,1p
chr1,79900001,80000000,1p
chr1,80000001,80100000,1p
chr1,80100001,80200000,1p
chr1,80200001,80300000,1p
chr1,80300001,80400000,1p
chr1,80400001,80500000,1p
chr1,80500001,80600000,1p
chr1,80600001,80700000,1p
chr1,80700001,80800000,1p
chr1,80800001,80900000,1p
chr1,80900001,81000000,1p
chr1,81000001,81100000,1p
chr1,81100001,81200000,1p
chr1,81200001,81300000,1p
chr1,81300001,81400000,1p
chr1,81400001,81500000,1p
chr1,81500001,81600000,1p
chr1,81600001,81700000,1p
chr1,81700001,81800000,1p
chr1,81800001,81900000,1p
chr1,81900001,82000000,1p
chr1,82000001,82100000,1p
chr1,82100001,82200000,1p
chr1,82200001,82300000,1p
chr1,82300001,82400000,1p
chr1,82400001,82500000,1p
chr1,82500001,82600000,1p
chr1,82600001,82700000,1p
chr1,82700001,82800000,1p
chr1,82800001,82900000,1p
chr1,82900001,83000000,1p
chr1,83000001,83100000,1p
chr1,83500001,83600000,1p
chr1,83600001,83700000,1p
chr1,83700001,83800000,1p
chr1,83800001,83900000,1p
chr1,83900001,84000000,1p
chr1,84000001,84100000,1p
chr1,84100001,84200000,1p
chr1,84200001,84300000,1p
chr1,84300001,84400000,1p
chr1,84400001,84500000,1p
chr1,84500001,84600000,1p
chr1,84600001,84700000,1p
chr1,84700001,84800000,1p
chr1,84800001,84900000,1p
chr1,84900001,85000000,1p
chr1,85000001,85100000,1p
chr1,85100001,85200000,1p
chr1,85200001,85300000,1p
chr1,85300001,85400000,1p
chr1,85400001,85500000,1p
chr1,85600001,85700000,1p
chr1,85700001,85800000,1p
chr1,85800001,85900000,1p
chr1,85900001,86000000,1p
chr1,86000001,86100000,1p
chr1,86100001,86200000,1p
chr1,86200001,86300000,1p
chr1,86300001,86400000,1p
chr1,86400001,86500000,1p
chr1,86500001,86600000,1p
chr1,86700001,86800000,1p
chr1,86900001,87000000,1p
chr1,87000001,87100000,1p
chr1,87100001,87200000,1p
chr1,87200001,87300000,1p
chr1,87300001,87400000,1p
chr1,87500001,87600000,1p
chr1,87600001,87700000,1p
chr1,87700001,87800000,1p
chr1,87800001,87900000,1p
chr1,87900001,88000000,1p
chr1,88000001,88100000,1p
chr1,88100001,88200000,1p
chr1,88200001,88300000,1p
chr1,88300001,88400000,1p
chr1,88400001,88500000,1p
chr1,88500001,88600000,1p
chr1,88600001,88700000,1p
chr1,88700001,88800000,1p
chr1,88800001,88900000,1p
chr1,88900001,89000000,1p
chr1,89100001,89200000,1p
chr1,89200001,89300000,1p
chr1,89500001,89600000,1p
chr1,89600001,89700000,1p
chr1,89700001,89800000,1p
chr1,89800001,89900000,1p
chr1,89900001,90000000,1p
chr1,90000001,90100000,1p
chr1,90100001,90200000,1p
chr1,90200001,90300000,1p
chr1,90300001,90400000,1p
chr1,90400001,90500000,1p
chr1,90500001,90600000,1p
chr1,90600001,90700000,1p
chr1,90700001,90800000,1p
chr1,90800001,90900000,1p
chr1,90900001,91000000,1p
chr1,91100001,91200000,1p
chr1,91500001,91600000,1p
chr1,91600001,91700000,1p
chr1,91700001,91800000,1p
chr1,91800001,91900000,1p
chr1,92000001,92100000,1p
chr1,92100001,92200000,1p
chr1,92300001,92400000,1p
chr1,92400001,92500000,1p
chr1,92700001,92800000,1p
chr1,92900001,93000000,1p
chr1,93000001,93100000,1p
chr1,93100001,93200000,1p
chr1,93200001,93300000,1p
chr1,93300001,93400000,1p
chr1,93400001,93500000,1p
chr1,93500001,93600000,1p
chr1,93600001,93700000,1p
chr1,93700001,93800000,1p
chr1,93800001,93900000,1p
chr1,94000001,94100000,1p
chr1,94100001,94200000,1p
chr1,94200001,94300000,1p
chr1,94300001,94400000,1p
chr1,94400001,94500000,1p
chr1,94500001,94600000,1p
chr1,94600001,94700000,1p
chr1,94700001,94800000,1p
chr1,94800001,94900000,1p
chr1,94900001,95000000,1p
chr1,95000001,95100000,1p
chr1,95100001,95200000,1p
chr1,95200001,95300000,1p
chr1,95300001,95400000,1p
chr1,95400001,95500000,1p
chr1,95500001,95600000,1p
chr1,95600001,95700000,1p
chr1,95700001,95800000,1p
chr1,95800001,95900000,1p
chr1,95900001,96000000,1p
chr1,96000001,96100000,1p
chr1,96100001,96200000,1p
chr1,96200001,96300000,1p
chr1,96300001,96400000,1p
chr1,96400001,96500000,1p
chr1,96500001,96600000,1p
chr1,96700001,96800000,1p
chr1,96800001,96900000,1p
chr1,96900001,97000000,1p
chr1,97000001,97100000,1p
chr1,97100001,97200000,1p
chr1,97200001,97300000,1p
chr1,97300001,97400000,1p
chr1,97400001,97500000,1p
chr1,97500001,97600000,1p
chr1,97600001,97700000,1p
chr1,97700001,97800000,1p
chr1,97800001,97900000,1p
chr1,97900001,98000000,1p
chr1,98000001,98100000,1p
chr1,98100001,98200000,1p
chr1,98200001,98300000,1p
chr1,98300001,98400000,1p
chr1,98400001,98500000,1p
chr1,98500001,98600000,1p
chr1,98600001,98700000,1p
chr1,98700001,98800000,1p
chr1,98800001,98900000,1p
chr1,98900001,99000000,1p
chr1,99000001,99100000,1p
chr1,99100001,99200000,1p
chr1,99200001,99300000,1p
chr1,99300001,99400000,1p
chr1,99400001,99500000,1p
chr1,99500001,99600000,1p
chr1,99600001,99700000,1p
chr1,99700001,99800000,1p
chr1,99800001,99900000,1p
chr1,99900001,100000000,1p
chr1,100000001,100100000,1p
chr1,100100001,100200000,1p
chr1,100200001,100300000,1p
chr1,100300001,100400000,1p
chr1,100400001,100500000,1p
chr1,100500001,100600000,1p
chr1,100700001,100800000,1p
chr1,100800001,100900000,1p
chr1,100900001,101000000,1p
chr1,101000001,101100000,1p
chr1,101100001,101200000,1p
chr1,101200001,101300000,1p
chr1,101300001,101400000,1p
chr1,101400001,101500000,1p
chr1,101500001,101600000,1p
chr1,101600001,101700000,1p
chr1,101700001,101800000,1p
chr1,101800001,101900000,1p
chr1,101900001,102000000,1p
chr1,102000001,102100000,1p
chr1,102200001,102300000,1p
chr1,102300001,102400000,1p
chr1,102400001,102500000,1p
chr1,102500001,102600000,1p
chr1,102600001,102700000,1p
chr1,102700001,102800000,1p
chr1,102800001,102900000,1p
chr1,102900001,103000000,1p
chr1,103000001,103100000,1p
chr1,103100001,103200000,1p
chr1,103200001,103300000,1p
chr1,103300001,103400000,1p
chr1,103400001,103500000,1p
chr1,103500001,103600000,1p
chr1,103800001,103900000,1p
chr1,103900001,104000000,1p
chr1,104000001,104100000,1p
chr1,104100001,104200000,1p
chr1,104200001,104300000,1p
chr1,104300001,104400000,1p
chr1,104400001,104500000,1p
chr1,104500001,104600000,1p
chr1,104600001,104700000,1p
chr1,104700001,104800000,1p
chr1,104800001,104900000,1p
chr1,104900001,105000000,1p
chr1,105000001,105100000,1p
chr1,105100001,105200000,1p
chr1,105200001,105300000,1p
chr1,105300001,105400000,1p
chr1,105400001,105500000,1p
chr1,105500001,105600000,1p
chr1,105600001,105700000,1p
chr1,105700001,105800000,1p
chr1,105800001,105900000,1p
chr1,105900001,106000000,1p
chr1,106000001,106100000,1p
chr1,106100001,106200000,1p
chr1,106200001,106300000,1p
chr1,106300001,106400000,1p
chr1,106400001,106500000,1p
chr1,106500001,106600000,1p
chr1,106600001,106700000,1p
chr1,106700001,106800000,1p
chr1,106900001,107000000,1p
chr1,107000001,107100000,1p
chr1,107100001,107200000,1p
chr1,107200001,107300000,1p
chr1,107300001,107400000,1p
chr1,107400001,107500000,1p
chr1,107500001,107600000,1p
chr1,107600001,107700000,1p
chr1,107700001,107800000,1p
chr1,107800001,107900000,1p
chr1,107900001,108000000,1p
chr1,108000001,108100000,1p
chr1,108100001,108200000,1p
chr1,108600001,108700000,1p
chr1,108700001,108800000,1p
chr1,108800001,108900000,1p
chr1,108900001,109000000,1p
chr1,109100001,109200000,1p
chr1,109200001,109300000,1p
chr1,109300001,109400000,1p
chr1,109400001,109500000,1p
chr1,109500001,109600000,1p
chr1,109700001,109800000,1p
chr1,109800001,109900000,1p
chr1,109900001,110000000,1p
chr1,110000001,110100000,1p
chr1,110100001,110200000,1p
chr1,110200001,110300000,1p
chr1,110300001,110400000,1p
chr1,110400001,110500000,1p
chr1,110500001,110600000,1p
chr1,110600001,110700000,1p
chr1,110700001,110800000,1p
chr1,110800001,110900000,1p
chr1,110900001,111000000,1p
chr1,111100001,111200000,1p
chr1,111200001,111300000,1p
chr1,111400001,111500000,1p
chr1,111500001,111600000,1p
chr1,111600001,111700000,1p
chr1,111700001,111800000,1p
chr1,111800001,111900000,1p
chr1,111900001,112000000,1p
chr1,112000001,112100000,1p
chr1,112100001,112200000,1p
