Chromosome,Start,End,arm
chr1,18800000,18899999,1p
chr1,18900000,18999999,1p
chr1,19000000,19099999,1p
chr1,19100000,19199999,1p
chr1,19200000,19299999,1p
chr1,19300000,19399999,1p
chr1,19400000,19499999,1p
chr1,19500000,19599999,1p
chr1,19600000,19699999,1p
chr1,19700000,19799999,1p
chr1,19800000,19899999,1p
chr1,19900000,19999999,1p
chr1,20000000,20099999,1p
chr1,20100000,20199999,1p
chr1,20200000,20299999,1p
chr1,20300000,20399999,1p
chr1,20400000,20499999,1p
chr1,20500000,20599999,1p
chr1,20600000,20699999,1p
chr1,20700000,20799999,1p
chr1,20800000,20899999,1p
chr1,20900000,20999999,1p
chr1,21000000,21099999,1p
chr1,21100000,21199999,1p
chr1,21200000,21299999,1p
chr1,21300000,21399999,1p
chr1,21400000,21499999,1p
chr1,21500000,21599999,1p
chr1,21600000,21699999,1p
chr1,21700000,21799999,1p
chr1,21800000,21899999,1p
chr1,21900000,21999999,1p
chr1,22000000,22099999,1p
chr1,22100000,22199999,1p
chr1,22200000,22299999,1p
chr1,22300000,22399999,1p
chr1,22400000,22499999,1p
chr1,22500000,22599999,1p
chr1,22600000,22699999,1p
chr1,22700000,22799999,1p
chr1,22800000,22899999,1p
chr1,22900000,22999999,1p
chr1,23000000,23099999,1p
chr1,23100000,23199999,1p
chr1,23200000,23299999,1p
chr1,23300000,23399999,1p
chr1,23400000,23499999,1p
chr1,23500000,23599999,1p
chr1,23600000,23699999,1p
chr1,23700000,23799999,1p
chr1,23800000,23899999,1p
chr1,23900000,23999999,1p
chr1,24000000,24099999,1p
chr1,24100000,24199999,1p
chr1,24200000,24299999,1p
chr1,24300000,24399999,1p
chr1,24400000,24499999,1p
chr1,24500000,24599999,1p
chr1,24600000,24699999,1p
chr1,24700000,24799999,1p
chr1,24800000,24899999,1p
chr1,24900000,24999999,1p
chr1,25000000,25099999,1p
chr1,25100000,25199999,1p
chr1,25200000,25299999,1p
chr1,25300000,25399999,1p
chr1,25400000,25499999,1p
chr1,25500000,25599999,1p
chr1,25600000,25699999,1p
chr1,25700000,25799999,1p
chr1,25800000,25899999,1p
chr1,25900000,25999999,1p
chr1,26000000,26099999,1p
chr1,26100000,26199999,1p
chr1,26200000,26299999,1p
chr1,26300000,26399999,1p
chr1,26400000,26499999,1p
chr1,26500000,26599999,1p
chr1,26600000,26699999,1p
chr1,26700000,26799999,1p
chr1,26800000,26899999,1p
chr1,26900000,26999999,1p
chr1,27000000,27099999,1p
chr1,27100000,27199999,1p
chr1,27200000,27299999,1p
chr1,27300000,27399999,1p
chr1,27400000,27499999,1p
chr1,27500000,27599999,1p
chr1,27600000,27699999,1p
chr1,27700000,27799999,1p
chr1,27800000,27899999,1p
chr1,27900000,27999999,1p
chr1,28000000,28099999,1p
chr1,28100000,28199999,1p
chr1,28200000,28299999,1p
chr1,28300000,28399999,1p
chr1,28400000,28499999,1p
chr1,28500000,28599999,1p
chr1,28600000,28699999,1p
chr1,28700000,28799999,1p
chr1,28800000,28899999,1p
chr1,28900000,28999999,1p
chr1,29000000,29099999,1p
chr1,29100000,29199999,1p
chr1,29200000,29299999,1p
chr1,29300000,29399999,1p
chr1,29400000,29499999,1p
chr1,29500000,29599999,1p
chr1,29600000,29699999,1p
chr1,29700000,29799999,1p
chr1,30100000,30199999,1p
chr1,30200000,30299999,1p
chr1,30300000,30399999,1p
chr1,30400000,30499999,1p
chr1,30500000,30599999,1p
chr1,30600000,30699999,1p
chr1,30700000,30799999,1p
chr1,30800000,30899999,1p
chr1,30900000,30999999,1p
chr1,31000000,31099999,1p
chr1,31100000,31199999,1p
chr1,31200000,31299999,1p
chr1,31300000,31399999,1p
chr1,31400000,31499999,1p
chr1,31500000,31599999,1p
chr1,31600000,31699999,1p
chr1,31700000,31799999,1p
chr1,31800000,31899999,1p
chr1,31900000,31999999,1p
chr1,32000000,32099999,1p
chr1,32100000,32199999,1p
chr1,32200000,32299999,1p
chr1,32300000,32399999,1p
chr1,32400000,32499999,1p
chr1,32500000,32599999,1p
chr1,32600000,32699999,1p
chr1,32700000,32799999,1p
chr1,32800000,32899999,1p
chr1,32900000,32999999,1p
chr1,33000000,33099999,1p
chr1,33100000,33199999,1p
chr1,33200000,33299999,1p
chr1,33300000,33399999,1p
chr1,33400000,33499999,1p
chr1,33500000,33599999,1p
chr1,33600000,33699999,1p
chr1,33700000,33799999,1p
chr1,33800000,33899999,1p
chr1,33900000,33999999,1p
chr1,34000000,34099999,1p
chr1,34100000,34199999,1p
chr1,34200000,34299999,1p
chr1,34300000,34399999,1p
chr1,34400000,34499999,1p
chr1,34500000,34599999,1p
chr1,34600000,34699999,1p
chr1,34700000,34799999,1p
chr1,34800000,34899999,1p
chr1,34900000,34999999,1p
chr1,35000000,35099999,1p
chr1,35100000,35199999,1p
chr1,35200000,35299999,1p
chr1,35300000,35399999,1p
chr1,35400000,35499999,1p
chr1,35500000,35599999,1p
chr1,35600000,35699999,1p
chr1,35700000,35799999,1p
chr1,35800000,35899999,1p
chr1,35900000,35999999,1p
chr1,36000000,36099999,1p
chr1,36100000,36199999,1p
chr1,36200000,36299999,1p
chr1,36300000,36399999,1p
chr1,36400000,36499999,1p
chr1,36500000,36599999,1p
chr1,36600000,36699999,1p
chr1,36700000,36799999,1p
chr1,36800000,36899999,1p
chr1,36900000,36999999,1p
chr1,37000000,37099999,1p
chr1,37100000,37199999,1p
chr1,37200000,37299999,1p
chr1,37300000,37399999,1p
chr1,37400000,37499999,1p
chr1,37500000,37599999,1p
chr1,37600000,37699999,1p
chr1,37700000,37799999,1p
chr1,37800000,37899999,1p
chr1,37900000,37999999,1p
chr1,38000000,38099999,1p
chr1,38100000,38199999,1p
chr1,38200000,38299999,1p
chr1,38300000,38399999,1p
chr1,38400000,38499999,1p
chr1,38500000,38599999,1p
chr1,38600000,38699999,1p
chr1,38700000,38799999,1p
chr1,38800000,38899999,1p
chr1,38900000,38999999,1p
chr1,39000000,39099999,1p
chr1,39100000,39199999,1p
chr1,39200000,39299999,1p
chr1,39300000,39399999,1p
chr1,39400000,39499999,1p
chr1,39500000,39599999,1p
chr1,39600000,39699999,1p
chr1,39700000,39799999,1p
chr1,39800000,39899999,1p
chr1,39900000,39999999,1p
chr1,40000000,40099999,1p
chr1,40100000,40199999,1p
chr1,40200000,40299999,1p
chr1,40300000,40399999,1p
chr1,40400000,40499999,1p
chr1,40500000,40599999,1p
chr1,40600000,40699999,1p
chr1,40700000,40799999,1p
chr1,40800000,40899999,1p
chr1,40900000,40999999,1p
chr1,41000000,41099999,1p
chr1,41100000,41199999,1p
chr1,41200000,41299999,1p
chr1,41300000,41399999,1p
chr1,41400000,41499999,1p
chr1,41500000,41599999,1p
chr1,41600000,41699999,1p
chr1,41700000,41799999,1p
chr1,41800000,41899999,1p
chr1,41900000,41999999,1p
chr1,42000000,42099999,1p
chr1,42100000,42199999,1p
chr1,42200000,42299999,1p
chr1,42300000,42399999,1p
chr1,42400000,42499999,1p
chr1,42500000,42599999,1p
chr1,42600000,42699999,1p
chr1,42700000,42799999,1p
chr1,42800000,42899999,1p
chr1,42900000,42999999,1p
chr1,43000000,43099999,1p
chr1,43100000,43199999,1p
chr1,43200000,43299999,1p
chr1,43300000,43399999,1p
chr1,43400000,43499999,1p
chr1,43500000,43599999,1p
chr1,43600000,43699999,1p
chr1,43700000,43799999,1p
chr1,43800000,43899999,1p
chr1,43900000,43999999,1p
chr1,44000000,44099999,1p
chr1,44100000,44199999,1p
chr1,44200000,44299999,1p
chr1,44300000,44399999,1p
chr1,44400000,44499999,1p
chr1,44500000,44599999,1p
chr1,44600000,44699999,1p
chr1,44700000,44799999,1p
chr1,44800000,44899999,1p
chr1,44900000,44999999,1p
chr1,45000000,45099999,1p
chr1,45100000,45199999,1p
chr1,45200000,45299999,1p
chr1,45300000,45399999,1p
chr1,45400000,45499999,1p
chr1,45500000,45599999,1p
chr1,45600000,45699999,1p
chr1,45700000,45799999,1p
chr1,45800000,45899999,1p
chr1,45900000,45999999,1p
chr1,46000000,46099999,1p
chr1,46100000,46199999,1p
chr1,46200000,46299999,1p
chr1,46300000,46399999,1p
chr1,46400000,46499999,1p
chr1,46500000,46599999,1p
chr1,46600000,46699999,1p
chr1,46700000,46799999,1p
chr1,46800000,46899999,1p
chr1,46900000,46999999,1p
chr1,47000000,47099999,1p
chr1,47100000,47199999,1p
chr1,47200000,47299999,1p
chr1,47300000,47399999,1p
chr1,47400000,47499999,1p
chr1,47500000,47599999,1p
chr1,47600000,47699999,1p
chr1,47700000,47799999,1p
chr1,47800000,47899999,1p
chr1,47900000,47999999,1p
chr1,48000000,48099999,1p
chr1,48100000,48199999,1p
chr1,48200000,48299999,1p
chr1,48300000,48399999,1p
chr1,48400000,48499999,1p
chr1,48500000,48599999,1p
chr1,48600000,48699999,1p
chr1,48700000,48799999,1p
chr1,48800000,48899999,1p
chr1,48900000,48999999,1p
chr1,49000000,49099999,1p
chr1,49100000,49199999,1p
chr1,49200000,49299999,1p
chr1,49300000,49399999,1p
chr1,49400000,49499999,1p
chr1,49500000,49599999,1p
chr1,49600000,49699999,1p
chr1,49700000,49799999,1p
chr1,49800000,49899999,1p
chr1,49900000,49999999,1p
chr1,50000000,50099999,1p
chr1,50100000,50199999,1p
chr1,50200000,50299999,1p
chr1,50300000,50399999,1p
chr1,50400000,50499999,1p
chr1,50500000,50599999,1p
chr1,50600000,50699999,1p
chr1,50700000,50799999,1p
chr1,50800000,50899999,1p
chr1,50900000,50999999,1p
chr1,51000000,51099999,1p
chr1,51100000,51199999,1p
chr1,51200000,51299999,1p
chr1,51300000,51399999,1p
chr1,51400000,51499999,1p
chr1,51500000,51599999,1p
chr1,51600000,51699999,1p
chr1,51700000,51799999,1p
chr1,51800000,51899999,1p
chr1,51900000,51999999,1p
chr1,52000000,52099999,1p
chr1,52100000,52199999,1p
chr1,52200000,52299999,1p
chr1,52300000,52399999,1p
chr1,52400000,52499999,1p
chr1,52500000,52599999,1p
chr1,52600000,52699999,1p
chr1,52700000,52799999,1p
chr1,52800000,52899999,1p
chr1,52900000,52999999,1p
chr1,53000000,53099999,1p
chr1,53100000,53199999,1p
chr1,53200000,53299999,1p
chr1,53300000,53399999,1p
chr1,53400000,53499999,1p
chr1,53500000,53599999,1p
chr1,53600000,53699999,1p
chr1,53700000,53799999,1p
chr1,53800000,53899999,1p
chr1,53900000,53999999,1p
chr1,54000000,54099999,1p
chr1,54100000,54199999,1p
chr1,54200000,54299999,1p
chr1,54300000,54399999,1p
chr1,54400000,54499999,1p
chr1,54500000,54599999,1p
chr1,54600000,54699999,1p
chr1,54700000,54799999,1p
chr1,54800000,54899999,1p
chr1,54900000,54999999,1p
chr1,55000000,55099999,1p
chr1,55100000,55199999,1p
chr1,55200000,55299999,1p
chr1,55300000,55399999,1p
chr1,55400000,55499999,1p
chr1,55500000,55599999,1p
chr1,55600000,55699999,1p
chr1,55700000,55799999,1p
chr1,55800000,55899999,1p
chr1,55900000,55999999,1p
chr1,56000000,56099999,1p
chr1,56100000,56199999,1p
chr1,56200000,56299999,1p
chr1,56300000,56399999,1p
chr1,56400000,56499999,1p
chr1,56500000,56599999,1p
chr1,56600000,56699999,1p
chr1,56700000,56799999,1p
chr1,56800000,56899999,1p
chr1,56900000,56999999,1p
chr1,57000000,57099999,1p
chr1,57100000,57199999,1p
chr1,57200000,57299999,1p
chr1,57300000,57399999,1p
chr1,57400000,57499999,1p
chr1,57500000,57599999,1p
chr1,57600000,57699999,1p
chr1,57700000,57799999,1p
chr1,57800000,57899999,1p
chr1,57900000,57999999,1p
chr1,58000000,58099999,1p
chr1,58100000,58199999,1p
chr1,58200000,58299999,1p
chr1,58300000,58399999,1p
chr1,58400000,58499999,1p
chr1,58500000,58599999,1p
chr1,58600000,58699999,1p
chr1,58700000,58799999,1p
chr1,58800000,58899999,1p
chr1,58900000,58999999,1p
chr1,59000000,59099999,1p
chr1,59100000,59199999,1p
chr1,59200000,59299999,1p
chr1,59300000,59399999,1p
chr1,59400000,59499999,1p
chr1,59500000,59599999,1p
chr1,59600000,59699999,1p
chr1,59700000,59799999,1p
chr1,59800000,59899999,1p
chr1,59900000,59999999,1p
chr1,60000000,60099999,1p
chr1,60100000,60199999,1p
chr1,60200000,60299999,1p
chr1,60300000,60399999,1p
chr1,60400000,60499999,1p
chr1,60500000,60599999,1p
chr1,60600000,60699999,1p
chr1,60700000,60799999,1p
chr1,60800000,60899999,1p
chr1,60900000,60999999,1p
chr1,61000000,61099999,1p
chr1,61100000,61199999,1p
chr1,61200000,61299999,1p
chr1,61300000,61399999,1p
chr1,61400000,61499999,1p
chr1,61500000,61599999,1p
chr1,61600000,61699999,1p
chr1,61700000,61799999,1p
chr1,61800000,61899999,1p
chr1,61900000,61999999,1p
chr1,62000000,62099999,1p
chr1,62100000,62199999,1p
chr1,62200000,62299999,1p
chr1,62300000,62399999,1p
chr1,62400000,62499999,1p
chr1,62500000,62599999,1p
chr1,62600000,62699999,1p
chr1,62700000,62799999,1p
chr1,62800000,62899999,1p
chr1,62900000,62999999,1p
chr1,63000000,63099999,1p
chr1,63100000,63199999,1p
chr1,63200000,63299999,1p
chr1,63300000,63399999,1p
chr1,63400000,63499999,1p
chr1,63500000,63599999,1p
chr1,63600000,63699999,1p
chr1,63700000,63799999,1p
chr1,63800000,63899999,1p
chr1,63900000,63999999,1p
chr1,64000000,64099999,1p
chr1,64100000,64199999,1p
chr1,64200000,64299999,1p
chr1,64300000,64399999,1p
chr1,64400000,64499999,1p
chr1,64500000,64599999,1p
chr1,64600000,64699999,1p
chr1,64700000,64799999,1p
chr1,64800000,64899999,1p
chr1,64900000,64999999,1p
chr1,65000000,65099999,1p
chr1,65100000,65199999,1p
chr1,65200000,65299999,1p
chr1,65300000,65399999,1p
chr1,65400000,65499999,1p
chr1,65500000,65599999,1p
chr1,65600000,65699999,1p
chr1,65700000,65799999,1p
chr1,65800000,65899999,1p
chr1,65900000,65999999,1p
chr1,66000000,66099999,1p
chr1,66100000,66199999,1p
chr1,66200000,66299999,1p
chr1,66300000,66399999,1p
chr1,66400000,66499999,1p
chr1,66500000,66599999,1p
chr1,66600000,66699999,1p
chr1,66700000,66799999,1p
chr1,66800000,66899999,1p
chr1,66900000,66999999,1p
chr1,67000000,67099999,1p
chr1,67100000,67199999,1p
chr1,67200000,67299999,1p
chr1,67300000,67399999,1p
chr1,67400000,67499999,1p
chr1,67500000,67599999,1p
chr1,67600000,67699999,1p
chr1,67700000,67799999,1p
chr1,67800000,67899999,1p
chr1,67900000,67999999,1p
chr1,68000000,68099999,1p
chr1,68100000,68199999,1p
chr1,68200000,68299999,1p
chr1,68300000,68399999,1p
chr1,68400000,68499999,1p
chr1,68500000,68599999,1p
chr1,68600000,68699999,1p
chr1,68700000,68799999,1p
chr1,68800000,68899999,1p
chr1,68900000,68999999,1p
chr1,69000000,69099999,1p
chr1,69100000,69199999,1p
chr1,69200000,69299999,1p
chr1,69300000,69399999,1p
chr1,69400000,69499999,1p
chr1,69500000,69599999,1p
chr1,69600000,69699999,1p
chr1,69700000,69799999,1p
chr1,69800000,69899999,1p
chr1,69900000,69999999,1p
chr1,70000000,70099999,1p
chr1,70100000,70199999,1p
chr1,70200000,70299999,1p
chr1,70300000,70399999,1p
chr1,70400000,70499999,1p
chr1,70500000,70599999,1p
chr1,70600000,70699999,1p
chr1,70700000,70799999,1p
chr1,70800000,70899999,1p
chr1,70900000,70999999,1p
chr1,71000000,71099999,1p
chr1,71100000,71199999,1p
chr1,71200000,71299999,1p
chr1,71300000,71399999,1p
chr1,71400000,71499999,1p
chr1,71500000,71599999,1p
chr1,71600000,71699999,1p
chr1,71700000,71799999,1p
chr1,71800000,71899999,1p
chr1,71900000,71999999,1p
chr1,72000000,72099999,1p
chr1,72100000,72199999,1p
chr1,72200000,72299999,1p
chr1,72300000,72399999,1p
chr1,72400000,72499999,1p
chr1,72500000,72599999,1p
chr1,72600000,72699999,1p
chr1,72700000,72799999,1p
chr1,72800000,72899999,1p
chr1,72900000,72999999,1p
chr1,73000000,73099999,1p
chr1,73100000,73199999,1p
chr1,73200000,73299999,1p
chr1,73300000,73399999,1p
chr1,73400000,73499999,1p
chr1,73500000,73599999,1p
chr1,73600000,73699999,1p
chr1,73700000,73799999,1p
chr1,73800000,73899999,1p
chr1,73900000,73999999,1p
chr1,74000000,74099999,1p
chr1,74100000,74199999,1p
chr1,74200000,74299999,1p
chr1,74300000,74399999,1p
chr1,74400000,74499999,1p
chr1,74500000,74599999,1p
chr1,74600000,74699999,1p
chr1,74700000,74799999,1p
chr1,74800000,74899999,1p
chr1,74900000,74999999,1p
chr1,75000000,75099999,1p
chr1,75100000,75199999,1p
chr1,75200000,75299999,1p
chr1,75300000,75399999,1p
chr1,75400000,75499999,1p
chr1,75500000,75599999,1p
chr1,75600000,75699999,1p
chr1,75700000,75799999,1p
chr1,75800000,75899999,1p
chr1,75900000,75999999,1p
chr1,76000000,76099999,1p
chr1,76100000,76199999,1p
chr1,76200000,76299999,1p
chr1,76300000,76399999,1p
chr1,76400000,76499999,1p
chr1,76500000,76599999,1p
chr1,76600000,76699999,1p
chr1,76700000,76799999,1p
chr1,76800000,76899999,1p
chr1,76900000,76999999,1p
chr1,77000000,77099999,1p
chr1,77100000,77199999,1p
chr1,77200000,77299999,1p
chr1,77300000,77399999,1p
chr1,77400000,77499999,1p
chr1,77500000,77599999,1p
chr1,77600000,77699999,1p
chr1,77700000,77799999,1p
chr1,77800000,77899999,1p
chr1,77900000,77999999,1p
chr1,78000000,78099999,1p
chr1,78100000,78199999,1p
chr1,78200000,78299999,1p
chr1,78300000,78399999,1p
chr1,78400000,78499999,1p
chr1,78500000,78599999,1p
chr1,78600000,78699999,1p
chr1,78700000,78799999,1p
chr1,78800000,78899999,1p
chr1,78900000,78999999,1p
chr1,79000000,79099999,1p
chr1,79100000,79199999,1p
chr1,79200000,79299999,1p
chr1,79300000,79399999,1p
chr1,79400000,79499999,1p
chr1,79500000,79599999,1p
chr1,79600000,79699999,1p
chr1,79700000,79799999,1p
chr1,79800000,79899999,1p
chr1,79900000,79999999,1p
chr1,80000000,80099999,1p
chr1,80100000,80199999,1p
chr1,80200000,80299999,1p
chr1,80300000,80399999,1p
chr1,80400000,80499999,1p
chr1,80500000,80599999,1p
chr1,80600000,80699999,1p
chr1,80700000,80799999,1p
chr1,80800000,80899999,1p
chr1,80900000,80999999,1p
chr1,81000000,81099999,1p
chr1,81100000,81199999,1p
chr1,81200000,81299999,1p
chr1,81300000,81399999,1p
chr1,81400000,81499999,1p
chr1,81500000,81599999,1p
chr1,81600000,81699999,1p
chr1,81700000,81799999,1p
chr1,81800000,81899999,1p
chr1,81900000,81999999,1p
chr1,82000000,82099999,1p
chr1,82100000,82199999,1p
chr1,82200000,82299999,1p
chr1,82300000,82399999,1p
chr1,82400000,82499999,1p
chr1,82500000,82599999,1p
chr1,82600000,82699999,1p
chr1,82700000,82799999,1p
chr1,82800000,82899999,1p
chr1,82900000,82999999,1p
chr1,83000000,83099999,1p
chr1,83100000,83199999,1p
chr1,83200000,83299999,1p
chr1,83300000,83399999,1p
chr1,83400000,83499999,1p
chr1,83500000,83599999,1p
chr1,83800000,83899999,1p
chr1,83900000,83999999,1p
chr1,84000000,84099999,1p
chr1,84100000,84199999,1p
chr1,84200000,84299999,1p
chr1,84300000,84399999,1p
chr1,84400000,84499999,1p
chr1,84500000,84599999,1p
chr1,84600000,84699999,1p
chr1,84700000,84799999,1p
chr1,84800000,84899999,1p
chr1,84900000,84999999,1p
chr1,85000000,85099999,1p
chr1,85100000,85199999,1p
chr1,85200000,85299999,1p
chr1,85300000,85399999,1p
chr1,85400000,85499999,1p
chr1,85500000,85599999,1p
chr1,85600000,85699999,1p
chr1,85700000,85799999,1p
chr1,85800000,85899999,1p
chr1,85900000,85999999,1p
chr1,86000000,86099999,1p
chr1,86100000,86199999,1p
chr1,86200000,86299999,1p
chr1,86300000,86399999,1p
chr1,86400000,86499999,1p
chr1,86500000,86599999,1p
chr1,86600000,86699999,1p
chr1,86700000,86799999,1p
chr1,86800000,86899999,1p
chr1,86900000,86999999,1p
chr1,87000000,87099999,1p
chr1,87100000,87199999,1p
chr1,87200000,87299999,1p
chr1,87300000,87399999,1p
chr1,87400000,87499999,1p
chr1,87500000,87599999,1p
chr1,87600000,87699999,1p
chr1,87700000,87799999,1p
chr1,87800000,87899999,1p
chr1,87900000,87999999,1p
chr1,88000000,88099999,1p
chr1,88100000,88199999,1p
chr1,88200000,88299999,1p
chr1,88300000,88399999,1p
chr1,88400000,88499999,1p
chr1,88500000,88599999,1p
chr1,88600000,88699999,1p
chr1,88700000,88799999,1p
chr1,88800000,88899999,1p
chr1,88900000,88999999,1p
chr1,89000000,89099999,1p
chr1,89100000,89199999,1p
chr1,89200000,89299999,1p
chr1,89300000,89399999,1p
chr1,89400000,89499999,1p
chr1,89500000,89599999,1p
chr1,89600000,89699999,1p
chr1,89700000,89799999,1p
chr1,89800000,89899999,1p
chr1,89900000,89999999,1p
chr1,90000000,90099999,1p
chr1,90100000,90199999,1p
chr1,90200000,90299999,1p
chr1,90300000,90399999,1p
chr1,90400000,90499999,1p
chr1,90500000,90599999,1p
chr1,90600000,90699999,1p
chr1,90700000,90799999,1p
chr1,90800000,90899999,1p
chr1,90900000,90999999,1p
chr1,91000000,91099999,1p
chr1,91100000,91199999,1p
chr1,91200000,91299999,1p
chr1,91300000,91399999,1p
chr1,91400000,91499999,1p
chr1,91500000,91599999,1p
chr1,91600000,91699999,1p
chr1,91700000,91799999,1p
chr1,91800000,91899999,1p
chr1,91900000,91999999,1p
chr1,92000000,92099999,1p
chr1,92100000,92199999,1p
chr1,92200000,92299999,1p
chr1,92300000,92399999,1p
chr1,92400000,92499999,1p
chr1,92500000,92599999,1p
chr1,92600000,92699999,1p
chr1,92700000,92799999,1p
chr1,92800000,92899999,1p
chr1,92900000,92999999,1p
chr1,93000000,93099999,1p
chr1,93100000,93199999,1p
chr1,93200000,93299999,1p
chr1,93300000,93399999,1p
chr1,93400000,93499999,1p
chr1,93500000,93599999,1p
chr1,93600000,93699999,1p
chr1,93700000,93799999,1p
chr1,93800000,93899999,1p
chr1,93900000,93999999,1p
chr1,94000000,94099999,1p
chr1,94100000,94199999,1p
chr1,94200000,94299999,1p
chr1,94300000,94399999,1p
chr1,94400000,94499999,1p
chr1,94500000,94599999,1p
chr1,94600000,94699999,1p
chr1,94700000,94799999,1p
chr1,94800000,94899999,1p
chr1,94900000,94999999,1p
chr1,95000000,95099999,1p
chr1,95100000,95199999,1p
chr1,95200000,95299999,1p
chr1,95300000,95399999,1p
